order_id,customer_id,order_date,order_status
66,2788,2024-05-26,Delivered
67,498,2025-11-02,Returned
68,1605,2024-03-24,Delivered
69,1507,2025-11-10,Delivered
70,2561,2023-05-29,Delivered
71,3021,2025-08-18,Delivered
72,3952,2024-04-26,Delivered
73,4438,2024-11-14,Delivered
74,3810,2023-10-28,Returned
75,3426,2024-12-12,Delivered
76,3432,2024-11-08,Returned
77,1588,2023-08-21,Delivered
78,4621,2023-05-02,Returned
79,3693,2023-03-02,Delivered
80,164,2023-11-18,Cancelled
81,4821,2024-03-27,Delivered
82,838,2023-04-22,Delivered
83,1597,2023-03-16,Delivered
84,584,2025-01-04,Delivered
85,149,2023-08-17,Delivered
86,1075,2025-03-12,Returned
87,3300,2025-01-29,Delivered
88,3716,2023-05-07,Delivered
89,2528,2023-07-22,Cancelled
90,4797,2024-02-24,Delivered
91,4391,2023-08-11,Delivered
92,1923,2023-03-21,Delivered
93,998,2023-11-20,Delivered
94,4607,2024-08-09,Cancelled
95,3555,2023-04-30,Returned
96,3860,2023-11-06,Delivered
97,751,2024-04-27,Delivered
98,132,2024-01-05,Delivered
99,1613,2024-06-18,Delivered
100,605,2025-09-29,Delivered
101,4940,2024-05-08,Delivered
102,693,2023-03-29,Delivered
103,1258,2023-01-24,Delivered
104,4352,2024-12-31,Delivered
105,1576,2024-04-10,Returned
106,1350,2023-08-21,Returned
107,1837,2025-10-05,Delivered
108,2104,2025-12-09,Returned
109,36,2025-10-06,Delivered
110,1232,2025-04-22,Delivered
111,2442,2025-07-24,Delivered
112,1993,2024-04-01,Returned
113,564,2025-03-20,Delivered
114,1458,2023-03-05,Delivered
115,755,2023-06-04,Delivered
116,750,2023-07-05,Returned
117,4882,2023-01-12,Delivered
118,2490,2025-02-21,Delivered
119,2867,2023-06-27,Delivered
120,3637,2024-05-29,Delivered
121,2190,2024-12-26,Returned
122,4950,2025-02-10,Delivered
123,91,2024-09-08,Delivered
124,736,2024-02-24,Delivered
125,1476,2023-04-27,Delivered
126,1602,2025-11-14,Delivered
127,606,2025-08-01,Delivered
128,1372,2023-03-26,Delivered
129,4734,2024-07-08,Delivered
130,4366,2023-08-07,Delivered
131,119,2025-10-25,Delivered
132,1145,2023-03-15,Delivered
133,2753,2023-06-05,Delivered
134,1589,2025-01-15,Delivered
135,901,2023-05-19,Delivered
136,2602,2025-03-26,Delivered
137,748,2025-09-16,Delivered
138,511,2025-10-20,Delivered
139,97,2025-08-20,Delivered
140,4967,2023-12-10,Delivered
141,1210,2024-02-23,Returned
142,1931,2025-03-14,Delivered
143,4322,2024-04-06,Delivered
144,2957,2023-11-28,Delivered
145,937,2025-08-22,Delivered
146,1514,2023-03-03,Delivered
147,4336,2024-04-05,Delivered
148,353,2023-12-04,Delivered
149,3981,2023-03-31,Delivered
150,3178,2023-04-14,Delivered
151,3218,2024-10-09,Delivered
152,3253,2025-01-15,Delivered
153,2297,2025-12-25,Delivered
154,4104,2023-08-15,Delivered
155,3981,2023-12-05,Delivered
156,1782,2024-10-23,Delivered
157,577,2025-01-27,Cancelled
158,3079,2024-07-01,Delivered
159,4604,2024-03-22,Delivered
160,3764,2025-03-04,Delivered
161,1063,2024-04-16,Delivered
162,3600,2024-03-16,Delivered
163,4797,2024-01-16,Delivered
164,4421,2025-01-05,Delivered
165,3238,2023-08-01,Delivered
166,563,2024-06-10,Delivered
167,3979,2023-12-30,Delivered
168,3322,2023-05-25,Delivered
169,3775,2025-11-28,Delivered
170,502,2025-05-15,Delivered
171,4318,2023-01-04,Delivered
172,2690,2025-05-07,Returned
173,2584,2024-11-07,Delivered
174,467,2023-05-14,Delivered
175,4868,2025-08-21,Delivered
176,1793,2025-12-04,Delivered
177,1846,2025-02-04,Delivered
178,2994,2025-06-07,Delivered
179,2368,2023-01-28,Delivered
180,2198,2024-02-26,Delivered
181,566,2025-10-02,Delivered
182,287,2023-04-19,Delivered
183,14,2023-03-17,Delivered
184,2218,2025-06-13,Delivered
185,1882,2023-12-25,Delivered
186,3900,2025-07-04,Delivered
187,3874,2025-03-10,Delivered
188,392,2025-12-09,Delivered
189,2675,2023-01-12,Delivered
190,3426,2024-10-18,Delivered
191,2895,2024-05-20,Delivered
192,1763,2024-06-26,Delivered
193,4084,2023-09-15,Delivered
194,360,2024-08-07,Delivered
195,860,2023-09-05,Delivered
196,2534,2024-09-01,Delivered
197,1432,2024-12-03,Returned
198,411,2024-03-03,Delivered
199,4916,2024-04-23,Delivered
200,3936,2024-07-29,Delivered
201,3454,2024-10-24,Delivered
202,1120,2024-05-10,Delivered
203,2916,2023-02-13,Delivered
204,2556,2024-12-12,Delivered
205,2458,2023-11-06,Delivered
206,1325,2023-04-11,Delivered
207,1997,2024-01-05,Returned
208,3441,2024-09-16,Delivered
209,841,2024-06-08,Delivered
210,674,2025-04-13,Delivered
211,3380,2024-06-20,Delivered
212,4734,2023-11-05,Cancelled
213,4335,2025-12-19,Delivered
214,761,2024-07-19,Returned
215,1976,2023-10-14,Delivered
216,3174,2024-08-28,Delivered
217,1256,2025-12-06,Delivered
218,1729,2025-09-10,Delivered
219,1097,2023-10-16,Cancelled
220,2837,2023-01-05,Delivered
221,439,2023-01-11,Delivered
222,4180,2024-01-24,Delivered
223,2602,2025-05-07,Cancelled
224,814,2023-09-12,Delivered
225,1728,2024-02-04,Delivered
226,147,2025-05-01,Delivered
227,2621,2024-06-07,Delivered
228,4794,2025-01-27,Returned
229,3510,2024-11-02,Cancelled
230,24,2023-02-16,Delivered
231,49,2024-01-09,Delivered
232,3558,2024-07-04,Delivered
233,3996,2023-07-01,Delivered
234,2865,2024-07-26,Delivered
235,2900,2024-08-10,Cancelled
236,3722,2024-05-27,Returned
237,2523,2023-01-10,Delivered
238,681,2025-05-01,Delivered
239,4671,2024-09-21,Delivered
240,4157,2024-06-24,Delivered
241,3176,2024-02-24,Returned
242,4011,2023-06-10,Delivered
243,4632,2023-01-12,Delivered
244,2116,2025-10-17,Cancelled
245,849,2025-08-19,Delivered
246,802,2023-01-13,Delivered
247,4771,2024-08-27,Delivered
248,628,2025-10-08,Delivered
249,3196,2025-06-27,Delivered
250,158,2024-06-04,Returned
251,4395,2024-09-23,Delivered
252,954,2023-10-12,Delivered
253,887,2025-04-11,Delivered
254,4593,2023-11-28,Delivered
255,2074,2024-04-19,Delivered
256,3426,2025-02-08,Delivered
257,652,2025-05-06,Delivered
258,2364,2025-01-21,Delivered
259,3828,2025-01-19,Delivered
260,1794,2023-09-21,Delivered
261,2413,2024-04-24,Returned
262,342,2024-10-04,Delivered
263,1549,2025-08-18,Returned
264,3539,2024-10-09,Delivered
265,3003,2024-07-13,Delivered
266,2176,2025-02-07,Returned
267,2851,2023-08-19,Delivered
268,2090,2024-04-14,Delivered
269,4546,2023-05-29,Delivered
270,1565,2023-11-02,Returned
271,2590,2024-03-31,Delivered
272,3726,2025-07-18,Delivered
273,694,2025-10-15,Returned
274,1463,2023-09-25,Delivered
275,2989,2024-07-27,Delivered
276,1523,2023-11-17,Delivered
277,4776,2025-04-13,Delivered
278,1812,2024-12-31,Delivered
279,4254,2024-04-06,Delivered
280,512,2023-02-27,Delivered
281,2674,2024-10-09,Delivered
282,4585,2025-08-16,Returned
283,2424,2025-06-29,Delivered
284,3678,2024-09-23,Delivered
285,4174,2025-05-14,Delivered
286,4131,2023-08-07,Delivered
287,994,2024-07-14,Delivered
288,516,2024-11-21,Delivered
289,2336,2024-06-25,Delivered
290,2930,2023-04-27,Delivered
291,1824,2024-02-09,Delivered
292,69,2023-07-28,Delivered
293,1725,2025-09-30,Delivered
294,343,2024-08-23,Delivered
295,4476,2023-08-30,Delivered
296,443,2024-05-08,Delivered
297,2544,2025-10-27,Delivered
298,2340,2025-02-08,Delivered
299,2215,2025-07-25,Delivered
300,4154,2025-03-06,Returned
301,4509,2025-11-30,Delivered
302,3354,2023-11-25,Delivered
303,168,2024-10-27,Delivered
304,1821,2025-12-20,Delivered
305,1922,2023-04-13,Delivered
306,2811,2024-05-04,Delivered
307,4459,2023-01-05,Delivered
308,4545,2025-07-08,Delivered
309,3901,2025-04-01,Delivered
310,982,2023-02-22,Delivered
311,2574,2025-07-04,Delivered
312,1636,2025-03-31,Delivered
313,3744,2024-04-04,Delivered
314,4426,2023-06-07,Delivered
315,4650,2024-06-17,Delivered
316,1662,2025-06-02,Delivered
317,4757,2023-02-19,Delivered
318,1550,2025-06-08,Delivered
319,4131,2024-01-21,Delivered
320,1193,2025-12-04,Delivered
321,1451,2024-02-13,Delivered
322,2636,2025-03-03,Delivered
323,2693,2025-01-22,Delivered
324,3596,2025-12-13,Delivered
325,4963,2024-12-20,Delivered
326,501,2025-03-02,Delivered
327,168,2023-07-31,Delivered
328,214,2024-05-25,Delivered
329,4822,2025-03-28,Delivered
330,4202,2024-04-12,Returned
331,2427,2025-01-21,Delivered
332,3797,2023-05-14,Delivered
333,4951,2024-10-17,Returned
334,752,2024-03-26,Delivered
335,1631,2025-09-13,Delivered
336,4672,2025-06-05,Delivered
337,4313,2024-03-12,Delivered
338,1390,2025-01-08,Delivered
339,4188,2025-06-29,Delivered
340,1488,2023-02-01,Delivered
341,1861,2025-10-21,Delivered
342,3466,2024-12-25,Delivered
343,252,2025-07-08,Delivered
344,4568,2023-07-11,Returned
345,2664,2025-12-26,Delivered
346,2943,2024-04-01,Cancelled
347,900,2024-06-24,Delivered
348,3600,2023-07-17,Delivered
349,2241,2024-03-02,Delivered
350,2645,2024-08-31,Delivered
351,1071,2023-05-21,Delivered
352,2353,2025-10-12,Delivered
353,4296,2023-11-03,Delivered
354,4576,2025-02-26,Delivered
355,3445,2024-11-27,Delivered
356,1160,2023-03-17,Delivered
357,3819,2023-05-23,Delivered
358,4768,2025-12-15,Delivered
359,608,2025-10-19,Delivered
360,1945,2023-11-12,Delivered
361,875,2023-06-30,Delivered
362,4197,2025-12-02,Delivered
363,3913,2024-01-05,Returned
364,4203,2023-10-28,Cancelled
365,3029,2023-06-25,Returned
366,3056,2024-07-22,Delivered
367,639,2025-11-05,Delivered
368,304,2025-09-29,Delivered
369,1061,2025-12-12,Delivered
370,4394,2024-07-28,Delivered
371,2722,2024-12-11,Delivered
372,2946,2023-01-31,Delivered
373,131,2024-03-25,Delivered
374,84,2025-10-17,Delivered
375,1832,2025-05-02,Delivered
376,612,2023-08-22,Delivered
377,1755,2023-11-09,Delivered
378,4561,2024-01-11,Delivered
379,945,2024-07-25,Delivered
380,4918,2025-08-07,Returned
381,3026,2024-01-19,Delivered
382,707,2025-02-16,Delivered
383,3243,2023-08-19,Delivered
384,4187,2023-03-05,Cancelled
385,3486,2023-02-04,Delivered
386,1070,2025-09-17,Delivered
387,1856,2025-05-17,Delivered
388,4608,2024-07-10,Delivered
389,3309,2024-02-18,Delivered
390,1565,2025-03-04,Delivered
391,2660,2024-01-09,Delivered
392,4051,2024-08-29,Returned
393,2397,2023-02-10,Returned
394,926,2024-07-24,Delivered
395,1228,2024-07-31,Delivered
396,4535,2024-03-24,Delivered
397,3615,2024-06-01,Delivered
398,3075,2024-02-03,Delivered
399,547,2024-05-22,Delivered
400,1461,2023-03-27,Delivered
401,2938,2025-01-08,Delivered
402,2953,2025-04-04,Delivered
403,533,2025-04-04,Delivered
404,4944,2023-09-28,Delivered
405,116,2024-12-24,Delivered
406,1856,2023-07-08,Delivered
407,4602,2025-05-31,Delivered
408,4277,2024-05-15,Delivered
409,435,2025-09-08,Delivered
410,3056,2024-01-20,Delivered
411,2516,2025-11-08,Returned
412,77,2023-05-28,Delivered
413,2298,2023-07-05,Delivered
414,2908,2023-01-31,Delivered
415,1661,2024-06-22,Delivered
416,3685,2024-04-25,Delivered
417,1165,2023-03-03,Delivered
418,2897,2024-10-12,Delivered
419,1823,2025-12-24,Delivered
420,4360,2024-11-24,Delivered
421,1334,2023-06-02,Delivered
422,1839,2023-11-28,Delivered
423,4296,2023-09-27,Delivered
424,3523,2023-04-09,Delivered
425,467,2025-09-25,Delivered
426,4674,2024-04-01,Delivered
427,618,2024-04-22,Delivered
428,1108,2024-10-29,Delivered
429,2416,2024-07-10,Delivered
430,659,2025-12-02,Returned
431,290,2025-03-27,Delivered
432,2840,2023-11-18,Delivered
433,199,2025-03-09,Delivered
434,4246,2023-11-19,Cancelled
435,3629,2024-05-27,Delivered
436,1065,2024-01-17,Delivered
437,3478,2024-04-07,Delivered
438,4670,2024-02-20,Returned
439,2889,2023-04-03,Delivered
440,3477,2024-06-02,Delivered
441,975,2025-10-22,Delivered
442,3501,2025-02-04,Delivered
443,3366,2025-03-14,Returned
444,4408,2024-12-12,Delivered
445,3777,2025-01-09,Cancelled
446,4806,2024-12-05,Delivered
447,3807,2023-12-16,Delivered
448,944,2025-02-08,Delivered
449,2900,2024-02-05,Delivered
450,4401,2023-06-10,Delivered
451,2138,2024-10-28,Delivered
452,3016,2024-05-10,Delivered
453,1576,2025-10-24,Delivered
454,4779,2024-06-06,Returned
455,2662,2023-09-05,Delivered
456,375,2024-05-24,Delivered
457,4195,2025-08-09,Delivered
458,4213,2023-08-16,Delivered
459,2252,2023-08-22,Delivered
460,1207,2025-12-19,Delivered
461,439,2023-02-11,Delivered
462,815,2024-12-01,Delivered
463,1943,2025-09-26,Delivered
464,4768,2024-10-08,Delivered
465,3310,2024-11-14,Delivered
466,6,2024-02-05,Delivered
467,1159,2024-03-31,Delivered
468,2829,2024-01-21,Delivered
469,1339,2023-11-05,Delivered
470,3956,2024-03-08,Delivered
471,3561,2024-05-23,Delivered
472,1476,2025-06-29,Delivered
473,3704,2023-06-23,Delivered
474,1338,2023-10-13,Delivered
475,3860,2024-06-01,Delivered
476,1831,2023-08-03,Delivered
477,2695,2024-07-09,Returned
478,2782,2025-12-13,Delivered
479,631,2023-07-08,Delivered
480,3435,2023-11-23,Delivered
481,3574,2025-02-25,Returned
482,761,2023-12-17,Delivered
483,2702,2025-07-29,Delivered
484,1925,2023-06-27,Delivered
485,1657,2023-01-03,Delivered
486,2065,2024-04-23,Delivered
487,3284,2025-06-13,Returned
488,4058,2024-08-15,Delivered
489,2904,2024-04-13,Delivered
490,4605,2024-07-22,Delivered
491,2755,2025-05-26,Delivered
492,4060,2025-08-23,Delivered
493,4696,2023-07-27,Delivered
494,2305,2024-02-28,Delivered
495,4268,2025-07-22,Returned
496,4101,2025-06-27,Delivered
497,4908,2025-12-17,Delivered
498,1586,2025-05-24,Delivered
499,3349,2024-08-04,Delivered
500,4222,2023-07-26,Cancelled
501,2481,2025-07-20,Delivered
502,2275,2024-01-06,Delivered
503,1830,2024-06-05,Delivered
504,2470,2024-11-07,Delivered
505,3520,2025-06-23,Delivered
506,771,2023-11-20,Delivered
507,3167,2025-12-01,Delivered
508,1075,2025-11-25,Delivered
509,2027,2024-09-02,Delivered
510,3091,2023-01-26,Delivered
511,1739,2024-02-16,Delivered
512,2933,2025-12-11,Delivered
513,923,2024-11-06,Delivered
514,2243,2023-10-15,Delivered
515,4855,2023-01-04,Delivered
516,3843,2023-09-20,Delivered
517,971,2024-06-30,Delivered
518,4981,2024-08-26,Delivered
519,1726,2024-12-20,Delivered
520,3223,2025-08-07,Delivered
521,2308,2023-02-21,Delivered
522,1162,2024-04-12,Delivered
523,4642,2023-09-29,Delivered
524,2833,2023-06-14,Delivered
525,3313,2023-05-23,Returned
526,1396,2023-03-26,Returned
527,3625,2023-11-01,Delivered
528,3953,2024-08-04,Delivered
529,72,2023-09-11,Returned
530,877,2024-08-07,Delivered
531,4,2023-11-05,Delivered
532,2476,2024-12-28,Delivered
533,1933,2023-04-19,Delivered
534,2549,2023-10-05,Delivered
535,4204,2023-12-18,Delivered
536,2647,2025-06-01,Delivered
537,4634,2023-12-31,Delivered
538,3668,2024-03-27,Delivered
539,1409,2024-01-12,Delivered
540,1073,2024-07-18,Delivered
541,146,2023-06-06,Delivered
542,3073,2025-07-22,Delivered
543,3345,2025-06-20,Delivered
544,1745,2023-06-26,Delivered
545,1731,2023-10-31,Delivered
546,4034,2023-11-06,Delivered
547,4194,2024-12-30,Delivered
548,3216,2023-03-21,Delivered
549,2604,2024-01-28,Delivered
550,4876,2024-03-03,Delivered
551,2261,2025-10-28,Delivered
552,1367,2025-11-10,Delivered
553,4127,2023-06-25,Delivered
554,239,2024-03-14,Delivered
555,3539,2025-11-24,Returned
556,3226,2024-03-12,Delivered
557,1491,2023-04-29,Delivered
558,1213,2023-12-21,Delivered
559,590,2023-10-09,Delivered
560,1295,2023-02-21,Delivered
561,258,2023-03-19,Delivered
562,4650,2023-04-01,Delivered
563,2830,2024-07-21,Delivered
564,751,2024-10-27,Delivered
565,514,2024-11-11,Delivered
566,2842,2023-03-18,Returned
567,3377,2025-05-16,Returned
568,867,2024-04-08,Delivered
569,60,2023-11-30,Returned
570,2816,2023-07-06,Delivered
571,2810,2023-06-14,Delivered
572,349,2024-01-29,Delivered
573,2734,2024-11-03,Returned
574,4198,2025-09-08,Delivered
575,2485,2025-12-12,Delivered
576,3674,2025-10-09,Delivered
577,597,2025-12-24,Delivered
578,2715,2023-12-01,Delivered
579,3551,2025-03-25,Delivered
580,3256,2024-10-11,Delivered
581,4686,2025-09-12,Delivered
582,4757,2023-02-25,Delivered
583,324,2025-01-01,Delivered
584,91,2024-12-16,Delivered
585,4083,2023-10-08,Delivered
586,2739,2023-12-24,Delivered
587,2374,2023-03-22,Delivered
588,905,2025-04-04,Delivered
589,2032,2025-12-19,Returned
590,670,2024-05-14,Delivered
591,2184,2023-11-15,Delivered
592,3358,2025-08-28,Delivered
593,4433,2023-12-12,Delivered
594,987,2025-07-09,Delivered
595,1025,2024-03-24,Delivered
596,291,2024-04-04,Delivered
597,3253,2023-04-09,Delivered
598,4278,2023-05-24,Delivered
599,1682,2023-09-06,Delivered
600,1596,2023-06-26,Delivered
601,3448,2023-05-30,Delivered
602,1947,2025-05-03,Delivered
603,1305,2025-01-23,Delivered
604,4737,2025-09-30,Delivered
605,3722,2025-10-23,Delivered
606,4110,2025-08-20,Delivered
607,2829,2023-01-06,Delivered
608,1192,2025-12-11,Returned
609,4649,2024-11-05,Delivered
610,3020,2023-03-02,Delivered
611,1927,2025-11-08,Delivered
612,2977,2024-09-08,Delivered
613,4760,2025-01-07,Returned
614,4577,2023-10-24,Delivered
615,223,2024-04-12,Delivered
616,3971,2023-11-28,Delivered
617,136,2024-03-06,Delivered
618,2356,2024-03-10,Delivered
619,1829,2025-03-07,Delivered
620,4613,2025-08-08,Delivered
621,2050,2023-06-11,Delivered
622,2190,2025-12-30,Delivered
623,1653,2023-03-11,Returned
624,1658,2024-05-06,Delivered
625,3434,2023-10-13,Delivered
626,2179,2024-04-10,Delivered
627,1854,2024-01-05,Delivered
628,1085,2025-11-05,Delivered
629,3989,2025-06-15,Delivered
630,2463,2025-12-29,Delivered
631,4688,2023-10-14,Delivered
632,3313,2023-02-24,Delivered
633,4969,2023-01-28,Delivered
634,556,2025-09-17,Returned
635,1567,2024-07-02,Cancelled
636,4976,2024-07-03,Delivered
637,4574,2024-04-25,Delivered
638,89,2025-03-30,Delivered
639,3848,2025-06-17,Delivered
640,1103,2025-11-16,Delivered
641,2397,2023-04-29,Delivered
642,198,2024-11-21,Delivered
643,1381,2025-11-15,Delivered
644,4986,2023-02-13,Delivered
645,1013,2025-02-17,Cancelled
646,3772,2025-11-17,Delivered
647,1871,2023-09-01,Delivered
648,906,2023-05-09,Delivered
649,564,2023-09-06,Delivered
650,2457,2024-09-19,Delivered
651,1984,2024-06-02,Delivered
652,2920,2025-09-27,Returned
653,2910,2024-08-31,Delivered
654,4568,2024-10-16,Returned
655,1421,2025-09-25,Delivered
656,920,2023-11-12,Returned
657,4504,2025-04-13,Delivered
658,2771,2023-11-07,Delivered
659,3748,2025-07-02,Delivered
660,2621,2025-07-13,Delivered
661,4628,2024-06-29,Delivered
662,1870,2024-03-05,Delivered
663,188,2024-08-23,Returned
664,2738,2024-04-11,Delivered
665,1700,2023-04-06,Delivered
666,4610,2023-12-14,Delivered
667,1957,2024-01-02,Cancelled
668,3497,2025-05-16,Delivered
669,626,2024-12-04,Delivered
670,2641,2025-04-29,Delivered
671,94,2023-01-22,Delivered
672,995,2023-11-04,Delivered
673,2157,2025-04-05,Delivered
674,1099,2025-04-05,Delivered
675,4731,2024-02-11,Delivered
676,2899,2024-04-30,Delivered
677,4139,2024-01-11,Returned
678,2514,2023-04-21,Delivered
679,4284,2023-08-20,Delivered
680,4389,2024-05-29,Delivered
681,2473,2024-03-19,Returned
682,3267,2024-11-23,Delivered
683,4235,2023-07-27,Delivered
684,1518,2025-08-26,Delivered
685,2431,2023-05-24,Delivered
686,4062,2023-10-14,Cancelled
687,1485,2023-09-13,Delivered
688,1741,2024-04-27,Delivered
689,110,2023-07-16,Delivered
690,2329,2024-09-16,Delivered
691,4107,2023-03-02,Delivered
692,960,2024-01-14,Delivered
693,2188,2023-10-23,Delivered
694,1905,2025-06-12,Delivered
695,428,2025-01-16,Delivered
696,373,2023-08-04,Delivered
697,363,2023-07-12,Delivered
698,4821,2025-03-04,Delivered
699,3001,2024-07-06,Delivered
700,1599,2025-05-22,Delivered
701,3697,2023-05-03,Delivered
702,1913,2024-12-31,Returned
703,337,2023-07-23,Delivered
704,2637,2023-03-03,Delivered
705,2444,2023-01-15,Delivered
706,1104,2023-02-11,Delivered
707,2617,2024-10-18,Delivered
708,2406,2023-09-02,Delivered
709,510,2024-06-30,Delivered
710,4985,2025-10-10,Delivered
711,4264,2025-09-12,Delivered
712,2820,2024-11-10,Delivered
713,2926,2023-05-12,Delivered
714,2302,2024-12-08,Delivered
715,4716,2024-12-16,Returned
716,443,2024-06-30,Delivered
717,2680,2024-04-20,Delivered
718,918,2024-10-03,Delivered
719,3572,2024-02-21,Delivered
720,371,2024-06-01,Delivered
721,4528,2025-01-07,Returned
722,1444,2023-05-28,Cancelled
723,3850,2023-01-30,Delivered
724,2011,2023-10-04,Delivered
725,1130,2023-08-08,Delivered
726,3535,2025-12-27,Delivered
727,246,2023-06-28,Delivered
728,4406,2025-04-19,Delivered
729,3060,2023-01-05,Delivered
730,2340,2023-12-25,Delivered
731,3524,2025-10-20,Delivered
732,2375,2024-01-14,Returned
733,1841,2023-02-19,Delivered
734,848,2024-08-15,Delivered
735,1224,2023-12-14,Delivered
736,4711,2025-04-12,Delivered
737,2810,2025-12-02,Delivered
738,1797,2025-01-14,Delivered
739,385,2024-10-26,Delivered
740,1163,2023-02-04,Delivered
741,4032,2024-12-19,Cancelled
742,734,2025-05-13,Returned
743,1192,2025-08-01,Delivered
744,3502,2024-12-26,Delivered
745,4115,2023-10-05,Delivered
746,2638,2024-08-13,Delivered
747,782,2025-07-05,Delivered
748,1259,2023-03-02,Delivered
749,2094,2025-08-15,Delivered
750,2887,2024-02-23,Delivered
751,2863,2023-03-03,Delivered
752,1171,2024-11-26,Delivered
753,4078,2024-01-31,Delivered
754,4394,2023-11-01,Delivered
755,2637,2023-05-16,Delivered
756,651,2024-10-22,Delivered
757,2126,2024-02-08,Delivered
758,2273,2023-11-05,Delivered
759,1071,2024-11-29,Returned
760,4098,2025-07-05,Delivered
761,4665,2025-08-26,Delivered
762,999,2023-05-26,Delivered
763,3970,2024-06-29,Delivered
764,4241,2023-05-06,Returned
765,4213,2025-02-19,Delivered
766,4243,2024-04-26,Delivered
767,4417,2025-12-14,Delivered
768,1717,2025-01-10,Delivered
769,3926,2024-05-18,Delivered
770,2069,2025-01-28,Delivered
771,3448,2023-07-09,Delivered
772,1174,2024-11-08,Delivered
773,465,2023-09-10,Delivered
774,1383,2023-07-16,Delivered
775,520,2025-07-12,Delivered
776,2323,2023-01-16,Delivered
777,3605,2023-11-10,Delivered
778,2204,2024-04-05,Delivered
779,3831,2024-06-29,Delivered
780,769,2023-03-05,Delivered
781,3323,2025-05-07,Delivered
782,4156,2023-08-31,Delivered
783,3045,2025-03-15,Delivered
784,3510,2024-01-13,Delivered
785,2625,2024-07-29,Delivered
786,1174,2024-03-04,Delivered
787,1688,2024-03-29,Delivered
788,3659,2024-06-18,Delivered
789,39,2024-02-08,Delivered
790,443,2025-05-31,Returned
791,2423,2024-03-26,Delivered
792,472,2023-06-24,Delivered
793,1149,2023-01-26,Delivered
794,3369,2024-05-12,Delivered
795,3739,2024-02-11,Delivered
796,3722,2025-08-24,Delivered
797,2353,2025-11-05,Delivered
798,1776,2023-11-20,Delivered
799,249,2024-09-19,Delivered
800,2858,2023-09-17,Delivered
801,1194,2023-12-04,Delivered
802,4058,2025-12-01,Delivered
803,4291,2025-05-24,Delivered
804,2984,2024-12-18,Returned
805,2700,2024-06-17,Delivered
806,4913,2024-09-02,Delivered
807,4983,2023-07-07,Delivered
808,164,2023-10-09,Delivered
809,1092,2024-11-02,Delivered
810,3725,2025-07-09,Delivered
811,2738,2024-11-03,Delivered
812,2096,2024-05-14,Delivered
813,4612,2024-01-21,Delivered
814,2116,2023-12-05,Delivered
815,4788,2025-09-25,Delivered
816,3526,2024-07-24,Delivered
817,3419,2025-07-04,Returned
818,4915,2025-03-13,Delivered
819,655,2024-10-15,Delivered
820,1317,2024-12-05,Delivered
821,1808,2023-05-01,Returned
822,352,2025-06-03,Delivered
823,3640,2023-09-21,Delivered
824,4191,2024-10-03,Delivered
825,4213,2023-03-14,Delivered
826,1241,2023-02-04,Delivered
827,1446,2023-06-02,Delivered
828,1800,2024-07-20,Delivered
829,956,2023-02-25,Delivered
830,1264,2025-08-10,Delivered
831,2327,2023-07-27,Delivered
832,165,2025-04-10,Cancelled
833,4065,2025-09-20,Delivered
834,526,2025-06-13,Delivered
835,2038,2023-04-13,Delivered
