return_id,order_id,return_reason
318,3898,Wrong Item
319,3907,Damaged
320,3908,Damaged
321,3909,Quality Issue
322,3924,Late Delivery
323,3934,Late Delivery
324,3941,Damaged
325,3953,Quality Issue
326,3958,Damaged
327,3963,Late Delivery
328,3969,Quality Issue
329,3978,Late Delivery
330,3991,Wrong Item
331,4000,Damaged
332,4022,Late Delivery
333,4029,Damaged
334,4031,Quality Issue
335,4040,Wrong Item
336,4046,Wrong Item
337,4048,Wrong Item
338,4052,Late Delivery
339,4054,Late Delivery
340,4059,Wrong Item
341,4061,Wrong Item
342,4063,Wrong Item
343,4078,Damaged
344,4087,Quality Issue
345,4093,Damaged
346,4106,Late Delivery
347,4128,Damaged
348,4138,Damaged
349,4140,Damaged
350,4170,Late Delivery
351,4176,Damaged
352,4179,Late Delivery
353,4204,Quality Issue
354,4259,Late Delivery
355,4264,Quality Issue
356,4271,Quality Issue
357,4272,Wrong Item
358,4284,Late Delivery
359,4313,Wrong Item
360,4314,Quality Issue
361,4334,Damaged
362,4344,Damaged
363,4345,Damaged
364,4354,Quality Issue
365,4367,Late Delivery
366,4369,Damaged
367,4377,Damaged
368,4393,Quality Issue
369,4401,Wrong Item
370,4420,Quality Issue
371,4432,Damaged
372,4450,Wrong Item
373,4466,Quality Issue
374,4472,Wrong Item
375,4473,Late Delivery
376,4496,Damaged
377,4497,Late Delivery
378,4509,Damaged
379,4530,Wrong Item
380,4531,Damaged
381,4532,Late Delivery
382,4536,Quality Issue
383,4547,Quality Issue
384,4576,Damaged
385,4613,Damaged
386,4614,Wrong Item
387,4642,Quality Issue
388,4644,Damaged
389,4652,Damaged
390,4654,Wrong Item
391,4688,Wrong Item
392,4697,Wrong Item
393,4698,Quality Issue
394,4716,Late Delivery
395,4719,Damaged
396,4738,Damaged
397,4739,Late Delivery
398,4749,Damaged
399,4765,Damaged
400,4792,Quality Issue
401,4796,Quality Issue
402,4818,Quality Issue
403,4836,Late Delivery
404,4842,Late Delivery
405,4844,Damaged
406,4856,Wrong Item
407,4890,Wrong Item
408,4916,Quality Issue
409,4921,Wrong Item
410,4991,Wrong Item
411,4995,Late Delivery
412,5004,Quality Issue
413,5006,Wrong Item
414,5007,Damaged
415,5008,Wrong Item
416,5028,Wrong Item
417,5040,Wrong Item
418,5046,Wrong Item
419,5065,Wrong Item
420,5070,Wrong Item
421,5071,Late Delivery
422,5091,Wrong Item
423,5093,Damaged
424,5107,Damaged
425,5113,Wrong Item
426,5127,Quality Issue
427,5141,Quality Issue
428,5147,Late Delivery
429,5148,Late Delivery
430,5149,Damaged
431,5186,Quality Issue
432,5196,Wrong Item
433,5215,Wrong Item
434,5222,Wrong Item
435,5228,Late Delivery
436,5235,Late Delivery
437,5248,Damaged
438,5256,Wrong Item
439,5273,Quality Issue
440,5288,Late Delivery
441,5298,Damaged
442,5301,Quality Issue
443,5305,Late Delivery
444,5308,Wrong Item
445,5317,Damaged
446,5326,Late Delivery
447,5338,Late Delivery
448,5356,Late Delivery
449,5360,Damaged
450,5364,Wrong Item
451,5382,Damaged
452,5384,Late Delivery
453,5400,Quality Issue
454,5401,Late Delivery
455,5408,Quality Issue
456,5420,Damaged
457,5422,Late Delivery
458,5437,Wrong Item
459,5447,Damaged
460,5453,Wrong Item
461,5473,Damaged
462,5475,Late Delivery
463,5495,Quality Issue
464,5504,Damaged
465,5505,Quality Issue
466,5512,Wrong Item
467,5516,Damaged
468,5522,Quality Issue
469,5528,Quality Issue
470,5535,Quality Issue
471,5572,Quality Issue
472,5575,Quality Issue
473,5587,Wrong Item
474,5595,Damaged
475,5596,Wrong Item
476,5599,Wrong Item
477,5609,Damaged
478,5614,Damaged
479,5642,Quality Issue
480,5650,Damaged
481,5669,Late Delivery
482,5672,Quality Issue
483,5674,Late Delivery
484,5736,Quality Issue
485,5743,Quality Issue
486,5770,Quality Issue
487,5777,Wrong Item
488,5792,Quality Issue
489,5819,Wrong Item
490,5830,Late Delivery
491,5832,Late Delivery
492,5841,Quality Issue
493,5872,Damaged
494,5874,Quality Issue
495,5900,Wrong Item
496,5902,Wrong Item
497,5910,Damaged
498,5912,Wrong Item
499,5958,Damaged
500,5966,Quality Issue
501,5976,Late Delivery
502,5989,Quality Issue
503,5992,Quality Issue
504,5999,Late Delivery
505,6015,Wrong Item
506,6025,Damaged
507,6059,Quality Issue
508,6070,Damaged
509,6083,Damaged
510,6088,Damaged
511,6092,Wrong Item
512,6106,Damaged
513,6107,Quality Issue
514,6119,Damaged
515,6125,Wrong Item
516,6131,Quality Issue
517,6146,Late Delivery
518,6166,Quality Issue
519,6216,Late Delivery
520,6222,Wrong Item
521,6223,Damaged
522,6239,Late Delivery
523,6245,Late Delivery
524,6247,Quality Issue
525,6253,Late Delivery
526,6263,Damaged
527,6265,Quality Issue
528,6268,Damaged
529,6272,Damaged
530,6283,Late Delivery
531,6299,Wrong Item
532,6306,Wrong Item
533,6321,Late Delivery
534,6326,Quality Issue
535,6339,Wrong Item
536,6375,Quality Issue
537,6389,Quality Issue
538,6409,Damaged
539,6411,Late Delivery
540,6440,Quality Issue
541,6463,Quality Issue
542,6492,Late Delivery
543,6501,Late Delivery
544,6510,Damaged
545,6514,Quality Issue
546,6515,Damaged
547,6539,Damaged
548,6546,Quality Issue
549,6556,Wrong Item
550,6572,Late Delivery
551,6583,Quality Issue
552,6595,Late Delivery
553,6598,Late Delivery
554,6604,Wrong Item
555,6606,Quality Issue
556,6624,Damaged
557,6635,Damaged
558,6653,Wrong Item
559,6668,Wrong Item
560,6674,Damaged
561,6686,Wrong Item
562,6695,Late Delivery
563,6698,Damaged
564,6712,Damaged
565,6722,Quality Issue
566,6724,Wrong Item
567,6736,Late Delivery
568,6740,Late Delivery
569,6760,Late Delivery
570,6773,Quality Issue
571,6775,Late Delivery
572,6802,Quality Issue
573,6803,Quality Issue
574,6818,Wrong Item
575,6835,Damaged
576,6854,Damaged
577,6861,Late Delivery
578,6875,Damaged
579,6885,Damaged
580,6888,Late Delivery
581,6906,Late Delivery
582,6909,Wrong Item
583,6933,Wrong Item
584,6935,Wrong Item
585,6943,Wrong Item
586,6973,Quality Issue
587,6974,Wrong Item
588,7003,Late Delivery
589,7021,Damaged
590,7033,Quality Issue
591,7068,Wrong Item
592,7070,Wrong Item
593,7071,Late Delivery
594,7163,Damaged
595,7166,Damaged
596,7168,Late Delivery
597,7171,Wrong Item
598,7176,Wrong Item
599,7186,Quality Issue
600,7187,Late Delivery
601,7217,Late Delivery
602,7222,Wrong Item
603,7223,Late Delivery
604,7258,Damaged
605,7270,Quality Issue
606,7295,Late Delivery
607,7310,Wrong Item
608,7314,Late Delivery
609,7318,Wrong Item
610,7320,Damaged
611,7323,Wrong Item
612,7333,Late Delivery
613,7344,Wrong Item
614,7356,Late Delivery
615,7364,Late Delivery
616,7388,Late Delivery
617,7393,Wrong Item
618,7398,Damaged
619,7403,Quality Issue
620,7477,Late Delivery
621,7479,Late Delivery
622,7505,Quality Issue
623,7518,Wrong Item
624,7537,Late Delivery
625,7558,Damaged
626,7562,Wrong Item
627,7581,Wrong Item
628,7588,Wrong Item
629,7607,Late Delivery
630,7616,Wrong Item
631,7624,Late Delivery
632,7628,Damaged
633,7636,Quality Issue
634,7643,Wrong Item
635,7645,Wrong Item
636,7657,Quality Issue
637,7676,Damaged
638,7684,Wrong Item
639,7685,Damaged
640,7686,Quality Issue
641,7689,Wrong Item
642,7691,Damaged
643,7707,Damaged
644,7716,Quality Issue
645,7718,Quality Issue
646,7719,Quality Issue
647,7724,Wrong Item
648,7726,Quality Issue
649,7745,Damaged
650,7747,Quality Issue
651,7753,Quality Issue
652,7764,Quality Issue
653,7773,Wrong Item
654,7786,Quality Issue
655,7800,Wrong Item
656,7832,Damaged
657,7838,Late Delivery
658,7843,Wrong Item
659,7847,Late Delivery
660,7855,Late Delivery
661,7864,Late Delivery
662,7889,Wrong Item
663,7890,Quality Issue
664,7900,Damaged
665,7902,Late Delivery
666,7906,Damaged
667,7943,Damaged
668,7958,Wrong Item
669,7989,Quality Issue
670,7996,Wrong Item
671,7999,Damaged
672,8023,Quality Issue
673,8025,Wrong Item
674,8038,Wrong Item
675,8040,Wrong Item
676,8041,Damaged
677,8043,Late Delivery
678,8076,Quality Issue
679,8154,Wrong Item
680,8172,Late Delivery
681,8183,Late Delivery
682,8185,Late Delivery
683,8186,Damaged
684,8190,Late Delivery
685,8198,Late Delivery
686,8230,Damaged
687,8234,Late Delivery
688,8253,Damaged
689,8255,Damaged
690,8269,Quality Issue
691,8275,Quality Issue
692,8285,Wrong Item
693,8314,Quality Issue
694,8325,Quality Issue
695,8334,Late Delivery
696,8355,Quality Issue
697,8360,Wrong Item
698,8371,Wrong Item
699,8374,Damaged
700,8414,Damaged
701,8415,Late Delivery
702,8430,Late Delivery
703,8448,Damaged
704,8463,Damaged
705,8465,Late Delivery
706,8481,Damaged
707,8499,Wrong Item
708,8500,Quality Issue
709,8507,Late Delivery
710,8508,Wrong Item
711,8534,Damaged
712,8569,Damaged
713,8576,Quality Issue
714,8584,Late Delivery
715,8591,Damaged
716,8600,Late Delivery
717,8608,Late Delivery
718,8620,Late Delivery
719,8658,Wrong Item
720,8663,Quality Issue
721,8667,Late Delivery
722,8670,Quality Issue
723,8676,Damaged
724,8690,Late Delivery
725,8700,Late Delivery
726,8705,Late Delivery
727,8720,Wrong Item
728,8723,Wrong Item
729,8737,Late Delivery
730,8771,Quality Issue
731,8777,Quality Issue
732,8778,Wrong Item
733,8780,Wrong Item
734,8820,Quality Issue
735,8837,Wrong Item
736,8843,Quality Issue
737,8853,Wrong Item
738,8863,Quality Issue
739,8879,Late Delivery
740,8884,Late Delivery
741,8898,Late Delivery
742,8899,Quality Issue
743,8912,Wrong Item
744,8943,Late Delivery
745,8948,Quality Issue
746,8971,Wrong Item
747,8997,Late Delivery
748,9001,Quality Issue
749,9043,Quality Issue
750,9067,Quality Issue
751,9084,Damaged
752,9088,Late Delivery
753,9120,Quality Issue
754,9122,Quality Issue
755,9126,Quality Issue
756,9141,Damaged
757,9156,Late Delivery
758,9159,Damaged
759,9207,Quality Issue
760,9212,Wrong Item
761,9218,Late Delivery
762,9227,Wrong Item
763,9242,Quality Issue
764,9247,Quality Issue
765,9281,Late Delivery
766,9293,Quality Issue
767,9296,Quality Issue
768,9324,Wrong Item
769,9337,Late Delivery
770,9338,Quality Issue
771,9345,Damaged
772,9347,Late Delivery
773,9355,Wrong Item
774,9372,Damaged
775,9380,Damaged
776,9389,Quality Issue
777,9437,Damaged
778,9440,Wrong Item
779,9459,Damaged
780,9461,Quality Issue
781,9481,Damaged
782,9482,Wrong Item
783,9484,Damaged
784,9493,Wrong Item
785,9512,Quality Issue
786,9517,Quality Issue
787,9518,Wrong Item
788,9521,Damaged
789,9524,Wrong Item
790,9546,Late Delivery
791,9550,Quality Issue
792,9563,Wrong Item
793,9591,Damaged
794,9606,Damaged
795,9614,Quality Issue
796,9618,Late Delivery
797,9622,Quality Issue
798,9636,Wrong Item
799,9639,Late Delivery
800,9650,Late Delivery
801,9659,Quality Issue
802,9697,Late Delivery
803,9729,Quality Issue
804,9742,Damaged
805,9743,Damaged
806,9745,Wrong Item
807,9757,Quality Issue
808,9758,Damaged
809,9759,Late Delivery
810,9763,Wrong Item
811,9775,Quality Issue
812,9778,Quality Issue
813,9785,Wrong Item
814,9791,Late Delivery
815,9796,Wrong Item
816,9805,Quality Issue
817,9818,Late Delivery
818,9843,Quality Issue
819,9848,Quality Issue
820,9873,Late Delivery
821,9884,Late Delivery
822,9890,Late Delivery
823,9896,Wrong Item
824,9903,Damaged
825,9909,Late Delivery
826,9922,Late Delivery
827,9928,Wrong Item
828,9929,Quality Issue
829,9933,Damaged
830,9948,Wrong Item
831,9964,Quality Issue
832,9989,Late Delivery
833,9990,Quality Issue
834,9999,Late Delivery
835,10015,Late Delivery
836,10023,Wrong Item
837,10063,Damaged
838,10074,Quality Issue
839,10083,Damaged
840,10120,Late Delivery
841,10126,Quality Issue
842,10144,Damaged
843,10171,Wrong Item
844,10183,Damaged
845,10187,Damaged
846,10191,Quality Issue
847,10211,Late Delivery
848,10228,Quality Issue
849,10233,Late Delivery
850,10236,Damaged
851,10256,Quality Issue
852,10266,Late Delivery
853,10268,Quality Issue
854,10292,Quality Issue
855,10298,Quality Issue
856,10302,Damaged
857,10304,Quality Issue
858,10311,Quality Issue
859,10330,Quality Issue
860,10331,Quality Issue
861,10367,Quality Issue
862,10369,Quality Issue
863,10370,Quality Issue
864,10383,Late Delivery
865,10394,Wrong Item
866,10428,Late Delivery
867,10441,Wrong Item
868,10463,Quality Issue
869,10497,Damaged
870,10499,Quality Issue
871,10500,Wrong Item
872,10511,Quality Issue
873,10534,Wrong Item
874,10535,Wrong Item
875,10536,Damaged
876,10548,Late Delivery
877,10556,Late Delivery
878,10584,Damaged
879,10589,Late Delivery
880,10619,Damaged
881,10631,Quality Issue
882,10643,Damaged
883,10650,Damaged
884,10656,Damaged
885,10674,Late Delivery
886,10695,Damaged
887,10720,Quality Issue
888,10746,Quality Issue
889,10751,Damaged
890,10768,Damaged
891,10771,Wrong Item
892,10785,Quality Issue
893,10791,Wrong Item
894,10803,Wrong Item
895,10807,Wrong Item
896,10809,Late Delivery
897,10813,Quality Issue
898,10821,Wrong Item
899,10828,Damaged
900,10830,Damaged
901,10834,Wrong Item
902,10842,Damaged
903,10869,Quality Issue
904,10882,Late Delivery
905,10895,Wrong Item
906,10898,Damaged
907,10911,Quality Issue
908,10917,Quality Issue
909,10939,Quality Issue
910,10973,Wrong Item
911,10975,Quality Issue
912,10991,Damaged
913,10999,Late Delivery
914,11000,Late Delivery
915,11011,Damaged
916,11034,Quality Issue
917,11053,Quality Issue
918,11068,Wrong Item
919,11094,Late Delivery
920,11109,Damaged
921,11113,Quality Issue
922,11115,Damaged
923,11164,Damaged
924,11194,Wrong Item
925,11211,Late Delivery
926,11212,Late Delivery
927,11271,Quality Issue
928,11288,Wrong Item
929,11295,Quality Issue
930,11320,Damaged
931,11325,Late Delivery
932,11362,Damaged
933,11376,Late Delivery
934,11401,Quality Issue
935,11403,Damaged
936,11405,Quality Issue
937,11428,Damaged
938,11430,Quality Issue
939,11440,Quality Issue
940,11479,Late Delivery
941,11486,Quality Issue
942,11494,Late Delivery
943,11540,Quality Issue
944,11542,Late Delivery
945,11556,Quality Issue
946,11558,Wrong Item
947,11590,Late Delivery
948,11608,Wrong Item
949,11620,Wrong Item
950,11642,Damaged
951,11646,Wrong Item
952,11650,Wrong Item
953,11671,Damaged
954,11674,Wrong Item
955,11680,Wrong Item
956,11685,Damaged
957,11698,Quality Issue
958,11711,Late Delivery
959,11727,Damaged
960,11729,Wrong Item
961,11737,Quality Issue
962,11756,Quality Issue
963,11772,Late Delivery
964,11779,Damaged
965,11794,Damaged
966,11810,Quality Issue
967,11817,Late Delivery
968,11835,Wrong Item
969,11855,Damaged
970,11856,Late Delivery
971,11864,Damaged
972,11868,Quality Issue
973,11895,Damaged
974,11902,Late Delivery
975,11903,Damaged
976,11942,Damaged
977,11962,Late Delivery
978,11980,Quality Issue
979,11982,Wrong Item
980,11987,Damaged
981,11992,Wrong Item
982,12000,Late Delivery
983,12021,Late Delivery
984,12047,Quality Issue
985,12055,Damaged
986,12076,Wrong Item
987,12083,Damaged
988,12097,Wrong Item
989,12108,Late Delivery
990,12120,Late Delivery
991,12123,Late Delivery
992,12131,Quality Issue
993,12140,Late Delivery
994,12142,Late Delivery
995,12176,Damaged
996,12206,Late Delivery
997,12232,Quality Issue
998,12249,Wrong Item
999,12275,Damaged
1000,12291,Late Delivery
1001,12322,Damaged
1002,12325,Quality Issue
1003,12338,Late Delivery
1004,12345,Wrong Item
1005,12366,Wrong Item
1006,12379,Quality Issue
1007,12380,Late Delivery
1008,12386,Quality Issue
1009,12400,Quality Issue
1010,12435,Wrong Item
1011,12455,Wrong Item
1012,12478,Damaged
1013,12536,Quality Issue
1014,12582,Late Delivery
1015,12590,Damaged
1016,12620,Quality Issue
1017,12641,Late Delivery
1018,12644,Quality Issue
1019,12677,Quality Issue
1020,12687,Late Delivery
1021,12702,Wrong Item
1022,12714,Wrong Item
1023,12717,Late Delivery
1024,12722,Damaged
1025,12730,Damaged
1026,12764,Wrong Item
1027,12789,Late Delivery
1028,12793,Quality Issue
1029,12796,Damaged
1030,12797,Wrong Item
1031,12803,Damaged
1032,12814,Damaged
1033,12823,Wrong Item
1034,12829,Quality Issue
1035,12875,Wrong Item
1036,12887,Quality Issue
1037,12908,Wrong Item
1038,12917,Late Delivery
1039,12928,Late Delivery
1040,12932,Damaged
1041,12936,Wrong Item
1042,12954,Late Delivery
1043,12973,Quality Issue
1044,12986,Damaged
1045,13008,Damaged
1046,13018,Quality Issue
1047,13021,Wrong Item
1048,13043,Wrong Item
1049,13128,Late Delivery
1050,13135,Late Delivery
1051,13147,Wrong Item
1052,13156,Wrong Item
1053,13158,Damaged
1054,13195,Damaged
1055,13197,Damaged
1056,13216,Late Delivery
1057,13230,Damaged
1058,13250,Wrong Item
1059,13288,Late Delivery
1060,13292,Wrong Item
1061,13332,Damaged
1062,13347,Wrong Item
1063,13351,Quality Issue
1064,13374,Quality Issue
1065,13391,Late Delivery
1066,13448,Late Delivery
1067,13453,Wrong Item
1068,13454,Late Delivery
1069,13457,Quality Issue
1070,13458,Late Delivery
1071,13471,Damaged
1072,13476,Quality Issue
1073,13485,Late Delivery
1074,13493,Damaged
1075,13495,Late Delivery
1076,13511,Wrong Item
1077,13529,Damaged
1078,13534,Damaged
1079,13535,Damaged
1080,13554,Quality Issue
1081,13555,Damaged
1082,13573,Late Delivery
1083,13574,Quality Issue
1084,13587,Wrong Item
1085,13595,Late Delivery
1086,13617,Damaged
1087,13629,Damaged
1088,13654,Late Delivery
1089,13665,Late Delivery
1090,13670,Late Delivery
1091,13671,Wrong Item
1092,13692,Damaged
1093,13697,Late Delivery
1094,13700,Late Delivery
1095,13707,Quality Issue
1096,13711,Late Delivery
1097,13714,Late Delivery
1098,13742,Quality Issue
1099,13747,Damaged
1100,13769,Damaged
1101,13770,Quality Issue
1102,13771,Wrong Item
1103,13772,Damaged
1104,13789,Damaged
1105,13793,Late Delivery
1106,13795,Late Delivery
1107,13801,Wrong Item
1108,13806,Late Delivery
1109,13829,Damaged
1110,13838,Damaged
1111,13853,Wrong Item
1112,13868,Damaged
1113,13900,Quality Issue
1114,13901,Late Delivery
1115,13907,Damaged
1116,13915,Late Delivery
1117,13928,Wrong Item
1118,13938,Late Delivery
1119,13940,Damaged
1120,13955,Wrong Item
1121,13989,Damaged
1122,13992,Wrong Item
1123,13994,Damaged
1124,14007,Quality Issue
1125,14041,Quality Issue
1126,14050,Late Delivery
1127,14058,Wrong Item
1128,14062,Damaged
1129,14089,Wrong Item
1130,14102,Quality Issue
1131,14104,Quality Issue
1132,14111,Quality Issue
1133,14123,Wrong Item
1134,14127,Damaged
1135,14151,Quality Issue
1136,14180,Late Delivery
1137,14188,Wrong Item
1138,14195,Late Delivery
1139,14204,Late Delivery
1140,14206,Quality Issue
1141,14234,Late Delivery
1142,14259,Late Delivery
1143,14273,Damaged
1144,14278,Late Delivery
1145,14297,Quality Issue
1146,14321,Damaged
1147,14328,Quality Issue
1148,14332,Damaged
1149,14336,Wrong Item
1150,14354,Wrong Item
1151,14384,Late Delivery
1152,14396,Wrong Item
1153,14411,Damaged
1154,14416,Late Delivery
1155,14467,Quality Issue
1156,14480,Late Delivery
1157,14485,Late Delivery
1158,14492,Late Delivery
1159,14500,Wrong Item
1160,14530,Wrong Item
1161,14535,Quality Issue
1162,14543,Wrong Item
1163,14561,Quality Issue
1164,14569,Damaged
1165,14577,Quality Issue
1166,14579,Late Delivery
1167,14586,Wrong Item
1168,14610,Quality Issue
1169,14612,Late Delivery
1170,14618,Late Delivery
1171,14682,Wrong Item
1172,14688,Wrong Item
1173,14695,Damaged
1174,14711,Wrong Item
1175,14725,Wrong Item
1176,14746,Quality Issue
1177,14748,Quality Issue
1178,14754,Damaged
1179,14755,Wrong Item
1180,14762,Quality Issue
1181,14769,Late Delivery
1182,14779,Wrong Item
1183,14794,Wrong Item
1184,14808,Quality Issue
1185,14833,Wrong Item
1186,14860,Quality Issue
1187,14869,Late Delivery
1188,14877,Damaged
1189,14903,Wrong Item
1190,14955,Wrong Item
1191,14967,Quality Issue
1192,14978,Damaged
1193,14990,Wrong Item
1194,15002,Damaged
1195,15061,Quality Issue
1196,15108,Damaged
1197,15113,Late Delivery
1198,15137,Wrong Item
1199,15168,Damaged
1200,15182,Damaged
1201,15216,Late Delivery
1202,15220,Damaged
1203,15230,Damaged
