payment_id,order_id,payment_method
131,131,Net Banking
132,132,UPI
133,133,Wallet
134,134,Debit Card
135,135,Debit Card
136,136,Credit Card
137,137,Wallet
138,138,UPI
139,139,Net Banking
140,140,Debit Card
141,141,Debit Card
142,142,Debit Card
143,143,Wallet
144,144,UPI
145,145,UPI
146,146,Debit Card
147,147,Debit Card
148,148,Net Banking
149,149,Debit Card
150,150,UPI
151,151,UPI
152,152,Net Banking
153,153,Wallet
154,154,Net Banking
155,155,Net Banking
156,156,Net Banking
157,157,Net Banking
158,158,Net Banking
159,159,Debit Card
160,160,Debit Card
161,161,Net Banking
162,162,UPI
163,163,UPI
164,164,Wallet
165,165,Debit Card
166,166,Net Banking
167,167,Wallet
168,168,Wallet
169,169,Credit Card
170,170,Net Banking
171,171,Net Banking
172,172,Debit Card
173,173,Credit Card
174,174,Debit Card
175,175,Wallet
176,176,UPI
177,177,Wallet
178,178,UPI
179,179,Net Banking
180,180,Credit Card
181,181,UPI
182,182,Credit Card
183,183,UPI
184,184,Wallet
185,185,UPI
186,186,Debit Card
187,187,Debit Card
188,188,Credit Card
189,189,UPI
190,190,Wallet
191,191,UPI
192,192,Debit Card
193,193,Debit Card
194,194,Wallet
195,195,Credit Card
196,196,Debit Card
197,197,Wallet
198,198,Debit Card
199,199,Debit Card
200,200,Net Banking
201,201,Debit Card
202,202,Debit Card
203,203,UPI
204,204,Wallet
205,205,Credit Card
206,206,Wallet
207,207,Credit Card
208,208,Credit Card
209,209,Debit Card
210,210,UPI
211,211,Credit Card
212,212,Net Banking
213,213,UPI
214,214,Net Banking
215,215,Net Banking
216,216,Wallet
217,217,Credit Card
218,218,UPI
219,219,Debit Card
220,220,Net Banking
221,221,UPI
222,222,Net Banking
223,223,Net Banking
224,224,Wallet
225,225,Net Banking
226,226,Net Banking
227,227,Debit Card
228,228,Credit Card
229,229,UPI
230,230,Net Banking
231,231,Credit Card
232,232,Net Banking
233,233,Credit Card
234,234,UPI
235,235,Debit Card
236,236,Credit Card
237,237,Credit Card
238,238,UPI
239,239,Net Banking
240,240,Debit Card
241,241,Debit Card
242,242,Credit Card
243,243,Net Banking
244,244,Credit Card
245,245,Debit Card
246,246,Credit Card
247,247,Credit Card
248,248,UPI
249,249,UPI
250,250,Debit Card
251,251,Debit Card
252,252,Net Banking
253,253,Wallet
254,254,Net Banking
255,255,Debit Card
256,256,Debit Card
257,257,Debit Card
258,258,Net Banking
259,259,UPI
260,260,Net Banking
261,261,Credit Card
262,262,Debit Card
263,263,Net Banking
264,264,Credit Card
265,265,Credit Card
266,266,Net Banking
267,267,Wallet
268,268,Net Banking
269,269,Debit Card
270,270,Wallet
271,271,Net Banking
272,272,Credit Card
273,273,UPI
274,274,Debit Card
275,275,Wallet
276,276,Credit Card
277,277,UPI
278,278,Net Banking
279,279,UPI
280,280,UPI
281,281,Wallet
282,282,UPI
283,283,UPI
284,284,Net Banking
285,285,Credit Card
286,286,Wallet
287,287,Credit Card
288,288,Debit Card
289,289,Credit Card
290,290,Debit Card
291,291,UPI
292,292,Credit Card
293,293,Net Banking
294,294,Debit Card
295,295,Credit Card
296,296,UPI
297,297,Debit Card
298,298,Net Banking
299,299,Net Banking
300,300,Credit Card
301,301,UPI
302,302,Debit Card
303,303,Wallet
304,304,Debit Card
305,305,Net Banking
306,306,Wallet
307,307,Credit Card
308,308,Wallet
309,309,Debit Card
310,310,Net Banking
311,311,Credit Card
312,312,Debit Card
313,313,UPI
314,314,Debit Card
315,315,Net Banking
316,316,UPI
317,317,Debit Card
318,318,Wallet
319,319,Wallet
320,320,Wallet
321,321,UPI
322,322,UPI
323,323,UPI
324,324,UPI
325,325,Debit Card
326,326,Debit Card
327,327,UPI
328,328,Credit Card
329,329,UPI
330,330,Wallet
331,331,UPI
332,332,Wallet
333,333,Wallet
334,334,Wallet
335,335,UPI
336,336,Wallet
337,337,Net Banking
338,338,UPI
339,339,UPI
340,340,Credit Card
341,341,Debit Card
342,342,Wallet
343,343,Credit Card
344,344,Credit Card
345,345,Debit Card
346,346,UPI
347,347,Debit Card
348,348,Net Banking
349,349,Credit Card
350,350,Net Banking
351,351,Net Banking
352,352,UPI
353,353,Debit Card
354,354,Net Banking
355,355,Net Banking
356,356,Debit Card
357,357,Credit Card
358,358,Net Banking
359,359,Net Banking
360,360,Debit Card
361,361,Credit Card
362,362,Net Banking
363,363,Credit Card
364,364,Debit Card
365,365,Debit Card
366,366,Debit Card
367,367,Credit Card
368,368,UPI
369,369,Net Banking
370,370,Net Banking
371,371,Credit Card
372,372,Wallet
373,373,Debit Card
374,374,UPI
375,375,UPI
376,376,Credit Card
377,377,UPI
378,378,Wallet
379,379,Debit Card
380,380,UPI
381,381,Debit Card
382,382,Debit Card
383,383,Net Banking
384,384,Wallet
385,385,Credit Card
386,386,UPI
387,387,Wallet
388,388,Wallet
389,389,Credit Card
390,390,Credit Card
391,391,Debit Card
392,392,UPI
393,393,Net Banking
394,394,UPI
395,395,Debit Card
396,396,Wallet
397,397,Debit Card
398,398,Wallet
399,399,Credit Card
400,400,UPI
401,401,Debit Card
402,402,Credit Card
403,403,UPI
404,404,Credit Card
405,405,UPI
406,406,Wallet
407,407,Debit Card
408,408,Credit Card
409,409,UPI
410,410,Wallet
411,411,Debit Card
412,412,Wallet
413,413,UPI
414,414,Wallet
415,415,Wallet
416,416,Debit Card
417,417,Net Banking
418,418,Credit Card
419,419,UPI
420,420,Net Banking
421,421,Wallet
422,422,Net Banking
423,423,Net Banking
424,424,Credit Card
425,425,Wallet
426,426,Wallet
427,427,Credit Card
428,428,Net Banking
429,429,Debit Card
430,430,UPI
431,431,Debit Card
432,432,Wallet
433,433,Debit Card
434,434,Debit Card
435,435,Debit Card
436,436,Credit Card
437,437,Debit Card
438,438,UPI
439,439,Wallet
440,440,Wallet
441,441,Net Banking
442,442,UPI
443,443,Debit Card
444,444,Net Banking
445,445,Credit Card
446,446,UPI
447,447,Debit Card
448,448,Credit Card
449,449,UPI
450,450,Debit Card
451,451,Wallet
452,452,Credit Card
453,453,Debit Card
454,454,UPI
455,455,Debit Card
456,456,Net Banking
457,457,Net Banking
458,458,Wallet
459,459,UPI
460,460,Debit Card
461,461,Net Banking
462,462,Wallet
463,463,Credit Card
464,464,Net Banking
465,465,Debit Card
466,466,Net Banking
467,467,Net Banking
468,468,UPI
469,469,Credit Card
470,470,Debit Card
471,471,Debit Card
472,472,Net Banking
473,473,Credit Card
474,474,Credit Card
475,475,Net Banking
476,476,Wallet
477,477,Debit Card
478,478,Debit Card
479,479,Wallet
480,480,Debit Card
481,481,Wallet
482,482,UPI
483,483,Credit Card
484,484,Credit Card
485,485,Wallet
486,486,Wallet
487,487,Net Banking
488,488,Wallet
489,489,Debit Card
490,490,Wallet
491,491,UPI
492,492,Debit Card
493,493,Net Banking
494,494,Credit Card
495,495,Net Banking
496,496,Credit Card
497,497,Wallet
498,498,Net Banking
499,499,Net Banking
500,500,UPI
501,501,Debit Card
502,502,Debit Card
503,503,UPI
504,504,Net Banking
505,505,Wallet
506,506,Wallet
507,507,UPI
508,508,Credit Card
509,509,Wallet
510,510,UPI
511,511,Debit Card
512,512,Wallet
513,513,Debit Card
514,514,UPI
515,515,Credit Card
516,516,Net Banking
517,517,Net Banking
518,518,Net Banking
519,519,UPI
520,520,Wallet
521,521,Net Banking
522,522,Wallet
523,523,Debit Card
524,524,Credit Card
525,525,Debit Card
526,526,Net Banking
527,527,Net Banking
528,528,Credit Card
529,529,Wallet
530,530,UPI
531,531,Credit Card
532,532,Net Banking
533,533,Wallet
534,534,Wallet
535,535,Wallet
536,536,Credit Card
537,537,Net Banking
538,538,UPI
539,539,UPI
540,540,Wallet
541,541,Credit Card
542,542,Wallet
543,543,Wallet
544,544,UPI
545,545,Debit Card
546,546,Wallet
547,547,Wallet
548,548,Debit Card
549,549,Credit Card
550,550,Wallet
551,551,UPI
552,552,UPI
553,553,UPI
554,554,Credit Card
555,555,Net Banking
556,556,Debit Card
557,557,Net Banking
558,558,Debit Card
559,559,Debit Card
560,560,UPI
561,561,Debit Card
562,562,Net Banking
563,563,Net Banking
564,564,Wallet
565,565,Credit Card
566,566,Net Banking
567,567,Net Banking
568,568,UPI
569,569,Debit Card
570,570,UPI
571,571,UPI
572,572,Wallet
573,573,Net Banking
574,574,Net Banking
575,575,Net Banking
576,576,UPI
577,577,Credit Card
578,578,Net Banking
579,579,Debit Card
580,580,Net Banking
581,581,Debit Card
582,582,Net Banking
583,583,UPI
584,584,Credit Card
585,585,Credit Card
586,586,Wallet
587,587,Wallet
588,588,Wallet
589,589,Credit Card
590,590,Wallet
591,591,Net Banking
592,592,Wallet
593,593,Debit Card
594,594,Wallet
595,595,Wallet
596,596,Wallet
597,597,UPI
598,598,Wallet
599,599,Debit Card
600,600,Net Banking
601,601,Net Banking
602,602,UPI
603,603,Credit Card
604,604,Wallet
605,605,Credit Card
606,606,Credit Card
607,607,Credit Card
608,608,Credit Card
609,609,Debit Card
610,610,UPI
611,611,Net Banking
612,612,Wallet
613,613,Wallet
614,614,Credit Card
615,615,Wallet
616,616,UPI
617,617,Wallet
618,618,UPI
619,619,Debit Card
620,620,Credit Card
621,621,Wallet
622,622,Wallet
623,623,Credit Card
624,624,Wallet
625,625,Wallet
626,626,Net Banking
627,627,Wallet
628,628,Debit Card
629,629,Wallet
630,630,Wallet
631,631,UPI
632,632,Wallet
633,633,Credit Card
634,634,Debit Card
635,635,Credit Card
636,636,Net Banking
637,637,Net Banking
638,638,Credit Card
639,639,Credit Card
640,640,Net Banking
641,641,Wallet
642,642,Wallet
643,643,Wallet
644,644,Credit Card
645,645,UPI
646,646,Debit Card
647,647,Debit Card
648,648,Debit Card
649,649,UPI
650,650,Credit Card
651,651,Wallet
652,652,Debit Card
653,653,Credit Card
654,654,Credit Card
655,655,Credit Card
656,656,Net Banking
657,657,Credit Card
658,658,Net Banking
659,659,Wallet
660,660,UPI
661,661,Wallet
662,662,Net Banking
663,663,UPI
664,664,Net Banking
665,665,Debit Card
666,666,Debit Card
667,667,Wallet
668,668,UPI
669,669,Wallet
670,670,Credit Card
671,671,Wallet
672,672,UPI
673,673,Net Banking
674,674,Credit Card
675,675,Debit Card
676,676,Credit Card
677,677,Debit Card
678,678,Wallet
679,679,Debit Card
680,680,UPI
681,681,Debit Card
682,682,Net Banking
683,683,UPI
684,684,UPI
685,685,Credit Card
686,686,Debit Card
687,687,Debit Card
688,688,Wallet
689,689,Credit Card
690,690,Debit Card
691,691,Net Banking
692,692,UPI
693,693,Net Banking
694,694,Net Banking
695,695,Credit Card
696,696,Wallet
697,697,Net Banking
698,698,UPI
699,699,Credit Card
700,700,UPI
701,701,Credit Card
702,702,UPI
703,703,Wallet
704,704,Debit Card
705,705,Wallet
706,706,Net Banking
707,707,Wallet
708,708,Wallet
709,709,Wallet
710,710,Debit Card
711,711,UPI
712,712,UPI
713,713,Debit Card
714,714,Credit Card
715,715,Credit Card
716,716,UPI
717,717,Credit Card
718,718,Net Banking
719,719,Credit Card
720,720,Wallet
721,721,Credit Card
722,722,UPI
723,723,UPI
724,724,Net Banking
725,725,UPI
726,726,Debit Card
727,727,Net Banking
728,728,Wallet
729,729,Net Banking
730,730,Net Banking
731,731,Net Banking
732,732,UPI
733,733,Credit Card
734,734,Wallet
735,735,UPI
736,736,Net Banking
737,737,Wallet
738,738,Credit Card
739,739,Debit Card
740,740,Wallet
741,741,Wallet
742,742,Net Banking
743,743,UPI
744,744,UPI
745,745,Wallet
746,746,Net Banking
747,747,Debit Card
748,748,UPI
749,749,UPI
750,750,Credit Card
751,751,UPI
752,752,Net Banking
753,753,Credit Card
754,754,Wallet
755,755,Net Banking
756,756,Debit Card
757,757,Debit Card
758,758,Debit Card
759,759,Credit Card
760,760,Net Banking
761,761,UPI
762,762,Credit Card
763,763,Wallet
764,764,Net Banking
765,765,Net Banking
766,766,Debit Card
767,767,Wallet
768,768,Net Banking
769,769,Net Banking
770,770,Credit Card
771,771,Net Banking
772,772,Debit Card
773,773,Credit Card
774,774,Credit Card
775,775,Net Banking
776,776,Credit Card
777,777,UPI
778,778,Net Banking
779,779,Debit Card
780,780,Credit Card
781,781,Debit Card
782,782,Credit Card
783,783,UPI
784,784,Credit Card
785,785,Net Banking
786,786,Credit Card
787,787,Credit Card
788,788,Credit Card
789,789,Net Banking
790,790,Net Banking
791,791,Wallet
792,792,Credit Card
793,793,Credit Card
794,794,UPI
795,795,Debit Card
796,796,Credit Card
797,797,Wallet
798,798,Credit Card
799,799,Net Banking
800,800,Credit Card
801,801,Net Banking
802,802,Wallet
803,803,Net Banking
804,804,Wallet
805,805,UPI
806,806,UPI
807,807,Credit Card
808,808,Debit Card
809,809,Wallet
810,810,Wallet
811,811,Wallet
812,812,Credit Card
813,813,Net Banking
814,814,Debit Card
815,815,UPI
816,816,UPI
817,817,UPI
818,818,Wallet
819,819,Net Banking
820,820,Credit Card
821,821,Wallet
822,822,Credit Card
823,823,Debit Card
824,824,UPI
825,825,Wallet
826,826,Debit Card
827,827,Debit Card
828,828,Wallet
829,829,UPI
830,830,UPI
831,831,Wallet
832,832,Wallet
833,833,UPI
834,834,Wallet
835,835,Net Banking
836,836,Net Banking
837,837,Wallet
838,838,Credit Card
839,839,UPI
840,840,Credit Card
841,841,UPI
842,842,Wallet
843,843,Credit Card
844,844,Wallet
845,845,UPI
846,846,UPI
847,847,Wallet
848,848,UPI
849,849,Debit Card
850,850,Credit Card
851,851,Credit Card
852,852,Wallet
853,853,UPI
854,854,Credit Card
855,855,Net Banking
856,856,UPI
857,857,Debit Card
858,858,Net Banking
859,859,Debit Card
860,860,Wallet
861,861,UPI
862,862,Debit Card
863,863,Net Banking
864,864,UPI
865,865,Wallet
866,866,Credit Card
867,867,UPI
868,868,Net Banking
869,869,UPI
870,870,Wallet
871,871,UPI
872,872,Net Banking
873,873,Debit Card
874,874,Net Banking
875,875,Credit Card
876,876,Net Banking
877,877,Debit Card
878,878,UPI
879,879,Wallet
880,880,Wallet
881,881,Wallet
882,882,Wallet
883,883,Debit Card
884,884,Net Banking
885,885,Debit Card
886,886,UPI
887,887,Wallet
888,888,Net Banking
889,889,Credit Card
890,890,Wallet
891,891,UPI
892,892,Debit Card
893,893,Debit Card
894,894,UPI
895,895,Credit Card
896,896,Wallet
897,897,Credit Card
898,898,Net Banking
899,899,UPI
900,900,Credit Card
901,901,Net Banking
902,902,UPI
903,903,Credit Card
904,904,Credit Card
905,905,Net Banking
906,906,Wallet
907,907,Debit Card
908,908,Net Banking
909,909,UPI
910,910,Net Banking
911,911,Credit Card
912,912,Credit Card
913,913,Wallet
914,914,Wallet
915,915,Net Banking
916,916,Net Banking
917,917,Wallet
918,918,UPI
919,919,Debit Card
920,920,UPI
921,921,UPI
922,922,Credit Card
923,923,Credit Card
924,924,Credit Card
925,925,Wallet
926,926,UPI
927,927,Debit Card
928,928,Debit Card
929,929,Credit Card
930,930,Net Banking
931,931,Net Banking
932,932,UPI
933,933,Debit Card
934,934,UPI
935,935,UPI
936,936,UPI
937,937,Debit Card
938,938,Debit Card
939,939,UPI
940,940,Wallet
941,941,Net Banking
942,942,UPI
943,943,Net Banking
944,944,Debit Card
945,945,Debit Card
946,946,Wallet
947,947,Wallet
948,948,Debit Card
949,949,Net Banking
950,950,Net Banking
951,951,Net Banking
952,952,Credit Card
953,953,UPI
954,954,Wallet
955,955,Debit Card
956,956,UPI
957,957,Credit Card
958,958,Net Banking
959,959,Wallet
960,960,UPI
961,961,Net Banking
962,962,Credit Card
963,963,Wallet
964,964,Credit Card
965,965,Credit Card
966,966,Net Banking
967,967,Debit Card
968,968,Debit Card
969,969,Debit Card
970,970,Debit Card
971,971,Net Banking
972,972,Wallet
973,973,Wallet
974,974,UPI
975,975,Credit Card
976,976,Net Banking
977,977,Net Banking
978,978,Debit Card
979,979,UPI
980,980,Debit Card
981,981,Debit Card
982,982,Credit Card
983,983,Debit Card
984,984,Net Banking
985,985,Net Banking
986,986,UPI
987,987,Debit Card
988,988,Net Banking
989,989,Net Banking
990,990,Net Banking
991,991,Credit Card
992,992,Net Banking
993,993,UPI
994,994,Wallet
995,995,Debit Card
996,996,Net Banking
997,997,Credit Card
998,998,Net Banking
999,999,Wallet
1000,1000,Debit Card
1001,1001,Wallet
1002,1002,Net Banking
1003,1003,Wallet
1004,1004,Net Banking
1005,1005,UPI
1006,1006,Debit Card
1007,1007,Net Banking
1008,1008,Credit Card
1009,1009,Wallet
1010,1010,UPI
1011,1011,Debit Card
1012,1012,UPI
1013,1013,UPI
1014,1014,Net Banking
1015,1015,Credit Card
1016,1016,Net Banking
1017,1017,Wallet
1018,1018,Wallet
1019,1019,Wallet
1020,1020,UPI
1021,1021,Debit Card
1022,1022,Credit Card
1023,1023,UPI
1024,1024,Debit Card
1025,1025,Wallet
1026,1026,Wallet
1027,1027,Wallet
1028,1028,Net Banking
1029,1029,Credit Card
1030,1030,Credit Card
1031,1031,Credit Card
1032,1032,Net Banking
1033,1033,Wallet
1034,1034,Wallet
1035,1035,Wallet
1036,1036,Net Banking
1037,1037,Debit Card
1038,1038,Debit Card
1039,1039,Debit Card
1040,1040,Wallet
1041,1041,Credit Card
1042,1042,Wallet
1043,1043,Wallet
1044,1044,Wallet
1045,1045,Wallet
1046,1046,Debit Card
1047,1047,Net Banking
1048,1048,Credit Card
1049,1049,UPI
1050,1050,Debit Card
1051,1051,Credit Card
1052,1052,Credit Card
1053,1053,UPI
1054,1054,Net Banking
1055,1055,Credit Card
1056,1056,Wallet
1057,1057,Wallet
1058,1058,UPI
1059,1059,Debit Card
1060,1060,UPI
1061,1061,Wallet
1062,1062,Credit Card
1063,1063,Net Banking
1064,1064,Debit Card
1065,1065,UPI
1066,1066,UPI
1067,1067,Wallet
1068,1068,UPI
1069,1069,Credit Card
1070,1070,Net Banking
1071,1071,Wallet
1072,1072,UPI
1073,1073,Wallet
1074,1074,UPI
1075,1075,Net Banking
1076,1076,Debit Card
1077,1077,Net Banking
1078,1078,Credit Card
1079,1079,Wallet
1080,1080,Credit Card
1081,1081,Debit Card
1082,1082,Net Banking
1083,1083,Wallet
1084,1084,Debit Card
1085,1085,UPI
1086,1086,Credit Card
1087,1087,Net Banking
1088,1088,Credit Card
1089,1089,Net Banking
1090,1090,UPI
1091,1091,UPI
1092,1092,Net Banking
1093,1093,Credit Card
1094,1094,Net Banking
1095,1095,Wallet
1096,1096,Net Banking
1097,1097,Net Banking
1098,1098,Debit Card
1099,1099,Wallet
1100,1100,Wallet
1101,1101,Net Banking
1102,1102,Credit Card
1103,1103,UPI
1104,1104,UPI
1105,1105,Debit Card
1106,1106,Debit Card
1107,1107,UPI
1108,1108,Net Banking
1109,1109,Net Banking
1110,1110,Net Banking
1111,1111,Wallet
1112,1112,Wallet
1113,1113,Debit Card
1114,1114,Wallet
1115,1115,UPI
1116,1116,UPI
1117,1117,Wallet
1118,1118,Wallet
1119,1119,Net Banking
1120,1120,UPI
1121,1121,Net Banking
1122,1122,UPI
1123,1123,Net Banking
1124,1124,Net Banking
1125,1125,UPI
1126,1126,Debit Card
1127,1127,UPI
1128,1128,Debit Card
1129,1129,UPI
1130,1130,UPI
1131,1131,Wallet
1132,1132,Wallet
1133,1133,Debit Card
1134,1134,Credit Card
1135,1135,Credit Card
1136,1136,Net Banking
1137,1137,Credit Card
1138,1138,Credit Card
1139,1139,Net Banking
1140,1140,Wallet
1141,1141,Net Banking
1142,1142,Debit Card
1143,1143,Credit Card
1144,1144,Debit Card
1145,1145,Wallet
1146,1146,Credit Card
1147,1147,Debit Card
1148,1148,Credit Card
1149,1149,UPI
1150,1150,Debit Card
1151,1151,Credit Card
1152,1152,Credit Card
1153,1153,Wallet
1154,1154,Debit Card
1155,1155,Net Banking
1156,1156,Credit Card
1157,1157,Debit Card
1158,1158,Credit Card
1159,1159,UPI
1160,1160,UPI
1161,1161,Wallet
1162,1162,Credit Card
1163,1163,Net Banking
1164,1164,Net Banking
1165,1165,UPI
1166,1166,Debit Card
1167,1167,Net Banking
1168,1168,Net Banking
1169,1169,Wallet
1170,1170,Credit Card
1171,1171,UPI
1172,1172,Wallet
1173,1173,Debit Card
1174,1174,Wallet
1175,1175,Credit Card
1176,1176,Credit Card
1177,1177,Debit Card
1178,1178,Net Banking
1179,1179,Net Banking
1180,1180,UPI
1181,1181,Wallet
1182,1182,Wallet
1183,1183,Wallet
1184,1184,Credit Card
1185,1185,UPI
1186,1186,UPI
1187,1187,Credit Card
1188,1188,Net Banking
1189,1189,Credit Card
1190,1190,Net Banking
1191,1191,Wallet
1192,1192,Credit Card
1193,1193,Wallet
1194,1194,Wallet
1195,1195,Wallet
1196,1196,Wallet
1197,1197,Net Banking
1198,1198,Wallet
1199,1199,Net Banking
1200,1200,Wallet
1201,1201,Credit Card
1202,1202,Wallet
1203,1203,Net Banking
1204,1204,Wallet
1205,1205,UPI
1206,1206,Credit Card
1207,1207,UPI
1208,1208,UPI
1209,1209,UPI
1210,1210,UPI
1211,1211,Wallet
1212,1212,Credit Card
1213,1213,Credit Card
1214,1214,Net Banking
1215,1215,UPI
1216,1216,Debit Card
1217,1217,Wallet
1218,1218,Wallet
1219,1219,Debit Card
1220,1220,Net Banking
1221,1221,Net Banking
1222,1222,Credit Card
1223,1223,Credit Card
1224,1224,Credit Card
1225,1225,Wallet
1226,1226,UPI
1227,1227,Debit Card
1228,1228,Wallet
1229,1229,Net Banking
1230,1230,Debit Card
1231,1231,Credit Card
1232,1232,Debit Card
1233,1233,Credit Card
1234,1234,Credit Card
1235,1235,Net Banking
1236,1236,Net Banking
1237,1237,Credit Card
1238,1238,Debit Card
1239,1239,Debit Card
1240,1240,Debit Card
1241,1241,Wallet
1242,1242,Wallet
1243,1243,UPI
1244,1244,Net Banking
1245,1245,Debit Card
1246,1246,UPI
1247,1247,Net Banking
1248,1248,Net Banking
1249,1249,Debit Card
1250,1250,Wallet
1251,1251,UPI
1252,1252,Credit Card
1253,1253,Wallet
1254,1254,UPI
1255,1255,Debit Card
1256,1256,Credit Card
1257,1257,Net Banking
1258,1258,Wallet
1259,1259,UPI
1260,1260,Credit Card
1261,1261,UPI
1262,1262,Wallet
1263,1263,Net Banking
1264,1264,Net Banking
1265,1265,Debit Card
1266,1266,Wallet
1267,1267,UPI
1268,1268,Credit Card
1269,1269,Net Banking
1270,1270,Net Banking
1271,1271,Wallet
1272,1272,UPI
1273,1273,Debit Card
1274,1274,UPI
1275,1275,Debit Card
1276,1276,UPI
1277,1277,UPI
1278,1278,Net Banking
1279,1279,Credit Card
1280,1280,UPI
1281,1281,UPI
1282,1282,Net Banking
1283,1283,Wallet
1284,1284,UPI
1285,1285,Credit Card
1286,1286,Net Banking
1287,1287,Debit Card
1288,1288,Credit Card
1289,1289,Credit Card
1290,1290,UPI
1291,1291,UPI
1292,1292,Debit Card
1293,1293,Wallet
1294,1294,Net Banking
1295,1295,Debit Card
1296,1296,Wallet
1297,1297,Net Banking
1298,1298,Credit Card
1299,1299,Debit Card
1300,1300,Debit Card
1301,1301,Debit Card
1302,1302,UPI
1303,1303,Net Banking
1304,1304,Debit Card
1305,1305,Net Banking
1306,1306,Debit Card
1307,1307,Wallet
1308,1308,Debit Card
1309,1309,Net Banking
1310,1310,Net Banking
1311,1311,Net Banking
1312,1312,Wallet
1313,1313,Wallet
1314,1314,Credit Card
1315,1315,Wallet
1316,1316,Debit Card
1317,1317,UPI
1318,1318,Net Banking
1319,1319,Net Banking
1320,1320,Debit Card
1321,1321,Net Banking
1322,1322,Net Banking
1323,1323,Wallet
1324,1324,UPI
1325,1325,Net Banking
1326,1326,Wallet
1327,1327,Wallet
1328,1328,Debit Card
1329,1329,Wallet
1330,1330,UPI
1331,1331,Net Banking
1332,1332,Net Banking
1333,1333,Net Banking
1334,1334,UPI
1335,1335,UPI
1336,1336,Wallet
1337,1337,UPI
1338,1338,UPI
1339,1339,Debit Card
1340,1340,UPI
1341,1341,Net Banking
1342,1342,Wallet
1343,1343,Debit Card
1344,1344,Debit Card
1345,1345,Debit Card
1346,1346,Wallet
1347,1347,Debit Card
1348,1348,Wallet
1349,1349,Credit Card
1350,1350,UPI
1351,1351,Wallet
1352,1352,Credit Card
1353,1353,Credit Card
1354,1354,Credit Card
1355,1355,Credit Card
1356,1356,UPI
1357,1357,Debit Card
1358,1358,UPI
1359,1359,Net Banking
1360,1360,Net Banking
1361,1361,Wallet
1362,1362,Wallet
1363,1363,Debit Card
1364,1364,Wallet
1365,1365,UPI
1366,1366,Wallet
1367,1367,Net Banking
1368,1368,UPI
1369,1369,Net Banking
1370,1370,Wallet
1371,1371,Net Banking
1372,1372,UPI
1373,1373,Net Banking
1374,1374,Net Banking
1375,1375,UPI
1376,1376,Net Banking
1377,1377,Wallet
1378,1378,UPI
1379,1379,UPI
1380,1380,Wallet
1381,1381,Wallet
1382,1382,Debit Card
1383,1383,UPI
1384,1384,Net Banking
1385,1385,Credit Card
1386,1386,Net Banking
1387,1387,UPI
1388,1388,UPI
1389,1389,Credit Card
1390,1390,Wallet
1391,1391,Wallet
1392,1392,Credit Card
1393,1393,Wallet
1394,1394,Net Banking
1395,1395,Credit Card
1396,1396,Wallet
1397,1397,Credit Card
1398,1398,Debit Card
1399,1399,UPI
1400,1400,Net Banking
1401,1401,Wallet
1402,1402,UPI
1403,1403,Debit Card
